,adc0_data1,adc0_data2,adc0_data3,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data8,adc2_data9,adc2_data11,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data2,adc3_data3,adc3_data4,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data11
translation_x,0.8398452299321439,0.9309916923578416,0.6271915323888866,0.8040275191679584,0.9609351987924024,0.8169846762193504,0.9708262143301678,1.019327819779684,0.42466267394177293,1.0856761210420471,0.5616652706733851,0.5794598424654247,0.8304311798258324,1.0373390263056879,0.9285074414007886,0.7471521627710567,1.0211411398577135,0.9743320176524357,0.6092370428958149,0.2416167487918135,0.681776533939122,0.7123592826788694,0.44005644053435944,0.6546843200612718,0.8380852628169706,0.544765420955879,0.7652615339067628,0.4593182808737599,0.7555657012699726,0.7395907598481333,0.894227051194262,0.6078489967019214,0.6801125445486382,0.5103150683455846,0.5982314442162646,0.5497078814787868,0.8386184556520362,0.838128444612769,1.0658534915443707,0.5692316621088045,0.599145741328484,0.8790519278971569,0.8900827198569718,1.0851269582260392,0.5787724349846837,0.596818666048613
translation_y,0.5777110693016685,0.7007418296343346,0.5224797245388706,0.709147145040665,0.879499718252462,0.6549541377408798,0.7496650261251867,0.8191647402933735,0.3205528188782756,0.8760320518565214,0.5685711577102275,0.3798543498865181,0.7106404682579468,0.7972382834325134,0.9261522000243607,0.5935918787773349,0.7148666656333689,0.7703548937937994,0.46824808615237656,0.27290787216263634,0.7368943757503645,0.7414445596792538,0.42954056751848624,0.9049087893720902,0.7202009704187677,0.2277969283818786,0.490240295122921,0.3357680234712843,0.7193749248023593,0.7113004464308523,0.6889140010405708,0.5733149401809472,0.44275089479301033,0.5864938284078645,0.7662329005028317,0.6800520981786575,0.5300131551750185,0.712012907460035,0.8943597744219252,0.6022191700135959,0.4191779042531183,0.8830483625702867,0.68104007717396,0.785618453911511,0.7170325160644613,0.8677999634361937
translation_z,0.055326978638657875,0.0,0.0,0.0,0.0,0.01452578642995328,0.0,0.0,0.0045500546428296484,0.0,0.04368144352612391,0.0,0.0,0.0,0.00719258896221775,0.052529130091138576,0.0,0.0,0.0,0.2871940084812432,0.0,0.0,0.0,0.2164090127284517,0.053942069281426086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07670507109110392,0.0,0.0,0.005663587378214485,0.0,0.0,0.0,0.0,0.059629491859480854,0.0,0.012927895393412658,0.0,0.03225327540051115,0.051600189633007165
rpy_x,0.3645890335693909,0.3407044960501604,0.17428677515090252,0.21396878087287918,0.312572866892491,0.31735474490994897,0.32035910771026277,0.20872592849275606,0.14137444093263962,0.6047117328345326,0.3210611588973562,0.15280151921195628,0.20985933171828686,0.2829055727824479,0.527152505018915,0.1995791823656421,0.31110091993650557,0.28589358752547467,0.19754926734859501,0.14475985765430543,0.3798901781208057,0.4660597254659349,0.021428207301534608,0.41755366988080844,0.4730652545943981,0.46374728408438726,0.1877127225740589,0.07872750013461283,0.5357898450948224,0.2999912099657016,0.4324404454416242,0.19141899521769212,0.2333989555665641,0.14843233948657497,0.29373724608554874,0.2689835088316834,0.17535179378680166,0.3198528744861926,0.4859424509450687,0.2964049167760472,0.16169616413725185,0.3797958801257397,0.40155818034848356,0.371924871174764,0.31701447287307016,0.5037968828634973
rpy_y,0.5201973172323877,0.8322101989151591,0.3783616297468151,0.6346683765345791,0.7103174900675919,0.5757225567430713,0.7760382179974004,0.7299643825012545,0.23615611543684212,0.8830189880428914,0.5218091499783053,0.4626446575877676,0.7730634250083777,0.8014405348784133,0.8178452059631001,0.7316727834366099,0.735361033432206,0.7510974073994103,0.6053363966328271,0.39443297613320505,0.6165557954220349,0.8020300119343726,0.45684215482007384,0.8772043843294122,0.7096353046131842,0.6117680370422018,0.5936972045982627,0.4323219880654323,0.7780797806907325,0.6433715414592898,0.9151492672613224,0.5469580643985303,0.6400849309499728,0.6102197153011584,0.6567282819448408,0.5074690745960564,0.6223706568073972,0.745141022541864,0.8532935378976232,0.43362878105962643,0.48576070286910955,0.675905154853035,0.8334966866284355,0.776144500684854,0.6146486285088701,0.7567543689458698
rpy_z,0.6994390501537446,0.753776417849775,0.6678474979658602,1.012187863133531,1.035875644024832,0.9248206085859871,1.020520663626386,0.8353131469543063,0.3959918023807272,1.3235459231947178,0.7594655136997173,0.4114326811597995,0.7892872565804405,0.9373215434660263,0.9541232588083475,0.8115499848900773,0.7918241864186928,0.743150427811033,0.5348826396945146,0.4191053910200928,0.9096839179297136,0.9643063439787396,0.38239771037562886,0.7970902530885069,0.940702145970888,0.2908636807390548,0.6052067586467853,0.2749740991377121,0.8822318541186376,0.5906476956918125,0.8461820614584885,0.708406797349076,0.5743314962008095,0.7593328503266485,0.8300564841039364,0.8018239976682093,0.6930406538576945,0.9397156970734153,1.0963579041957285,0.6479746652730927,0.4475753926325816,0.8687788955664877,0.8324948389528661,0.9664929749432445,0.7700468593547234,0.8972821462101312
