,adc0_data1,adc0_data2,adc0_data3,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data8,adc2_data9,adc2_data11,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data2,adc3_data3,adc3_data4,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data11
translation_x,0.8717634780183747,0.9314087752749243,0.6173061083992959,0.8295023681531215,0.9716021631240934,0.7982648765272518,0.980035460394167,1.018870784626441,0.42466267394177293,1.0780111933771195,0.5210300799869647,0.5932688587785713,0.8595620693399666,1.0110216599138246,0.9219521701469882,0.7145623953200888,1.0366989183379296,0.9806261591728351,0.6109296640479303,0.24620040842444935,0.6937831287844185,0.7094265604446761,0.44005644053435944,0.6512381366150888,0.7972744047341827,0.5725157887797763,0.8178820928124388,0.4494617444954847,0.7397358990271266,0.716933489649197,0.8990693385365494,0.6302722186179628,0.6220556503688097,0.5406346912640982,0.5844325147207183,0.5957135238323177,0.8385238661952872,0.824098601906456,1.0656946988120484,0.5563713672104669,0.5808553570301074,0.9056626414641085,0.8942295452537974,1.099751470010908,0.594762441875178,0.6031266913566382
translation_y,0.5360229010839592,0.6974717432392483,0.504253239050388,0.737341110661101,0.8761769068046505,0.6557148446104069,0.7278529193866095,0.8301376842348365,0.3112644533766753,0.877655984570253,0.5966996810794036,0.45525871616376556,0.7487604172411517,0.791074456790746,0.8986191312412921,0.5602571765273754,0.7233509500349704,0.7560243446883848,0.4659753588796496,0.28463347704085784,0.7285531725797667,0.7655864439252407,0.42954056751848624,0.8907192965893316,0.7143515207094908,0.2758489389538785,0.48341226008605953,0.3500388291370786,0.717881782442209,0.7068948003340298,0.6732257451607828,0.6081425465871395,0.45610522597342196,0.6234324150348978,0.7616989358200905,0.7402090302631392,0.5214346670163232,0.7522771721808212,0.9121532061220907,0.5875909115618079,0.4002626777525291,0.8810306805711869,0.6859352745691578,0.7676074662655901,0.7262709290982936,0.8421143211058144
translation_z,0.049598063979643614,0.0,0.0,0.0,0.0,0.006788395652311374,0.0,0.0,0.0,0.0,0.03007387303148934,0.0,0.0,0.0,0.0,0.05431624848472838,0.0,0.0,0.0,0.2354963458335626,0.0,0.0,0.0,0.24766423898367806,0.05883018886217384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05678777579132599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263335782711497,0.0,0.012927895393412658,0.0,0.028480762218036304,0.05532174485224006
rpy_x,0.34584549413438337,0.339354891950556,0.16926643220456272,0.21342826810429694,0.32112999583717583,0.3134033381535859,0.3129656686282276,0.1984324885886839,0.14137444093263962,0.572544196208792,0.29521708137180824,0.1887871044522491,0.2060919762120581,0.2757918353552433,0.5203943988730619,0.22716071650554337,0.3285922446162981,0.2828900311730389,0.2189711191336745,0.1824783771665559,0.3990112467274205,0.4694891818120581,0.021428207301534608,0.42179234674410404,0.464447646593797,0.44759677237584317,0.19708532906329768,0.08405878921590149,0.5488980314847423,0.30129515506275073,0.4142884050299087,0.18566731507265666,0.22858337207112744,0.1261904451635112,0.31194134060751133,0.24915423823977312,0.16211564765348596,0.32108983302238037,0.4976476269974375,0.2961649900361205,0.15464424348291805,0.3530891255048243,0.3960559026697348,0.3704898982280469,0.31829867795840516,0.4936295694264472
rpy_y,0.4817626317765893,0.8531441577438545,0.3843117887570764,0.6283691382904331,0.6973787897022914,0.5954831798613902,0.7791683500342663,0.7418567842373287,0.2369497662304929,0.8631145750516596,0.4844251360559986,0.4932936675156745,0.7298193863003986,0.7471630947771637,0.8300766401042607,0.7244614847643551,0.7640937425695067,0.726065189746953,0.6141162491770478,0.44187392554548754,0.6154513192557745,0.7785179748641735,0.45446120243912147,0.8651244204479775,0.7224834663410655,0.6301939379063186,0.5565557090587612,0.34050817534258937,0.7713049237394043,0.6243634205827633,0.9191163717798982,0.5416531633519985,0.5848497070076897,0.6339076293941053,0.6762116182366247,0.5090177050843434,0.6204061713110491,0.7430538967047384,0.8524019526310376,0.43032592259397706,0.48698225002368956,0.7030901108482137,0.8415985384802875,0.7873288663724645,0.5965669707153491,0.7762005667568146
rpy_z,0.7223018518400757,0.7578505042256518,0.6430634770666432,1.0089309119952736,1.0403128734620615,0.9266086185922642,1.0225669455894633,0.84656739460923,0.4068576497323608,1.3337916496904438,0.7315242912010256,0.4393681424693836,0.7901282270384187,0.9133742241773168,0.9218286065794852,0.8698201021461283,0.7822346555791617,0.7539757790243151,0.537895138450547,0.4469709545537319,0.9075128791105376,0.9618911682818296,0.38239771037562886,0.7721667275399815,0.9912378602566021,0.29196308254497794,0.677870718310146,0.2663931696071069,0.902226966219013,0.6245415399719338,0.8744249742331347,0.7098647504620803,0.6060068801040133,0.7595347440870104,0.810758787861269,0.8054841955581609,0.7048405928971362,0.9628270203131664,1.0785644622575494,0.6430237932787426,0.390896650199164,0.888140577538673,0.854352102060129,0.9578707886643243,0.7496092226630824,0.9048964387508942
