Feature,Importance Mean,Importance Std
adc0_data0,0.006855098164213593,0.003059394528214427
adc0_data1,0.027802875330052525,0.005280943373001774
adc0_data2,0.007909658125944928,0.003848035206728784
adc0_data3,0.0437901386538493,0.012528723448500655
adc0_data4,0.011512302455623558,0.004303733425323676
adc0_data6,0.01379070527280144,0.005430718799686834
adc0_data7,0.09123521614380226,0.020619107342931205
adc0_data8,0.00829779511533572,0.0037364731495961668
adc0_data9,0.02266469909860377,0.006845208609166709
adc0_data10,0.04589645354249772,0.013684405209719974
adc0_data11,0.18471918671425763,0.04515701041645873
adc0_data12,0.12936294118229366,0.02555771066236982
adc1_data0,0.02032710397441496,0.006287360867784551
adc1_data1,0.06601951930828638,0.02343462369993412
adc1_data2,0.08689769478511984,0.026258502935557218
adc1_data3,0.020972162009891247,0.0033128354561124135
adc1_data4,0.004335313025020569,0.0020265621915720494
adc1_data5,0.06463318049115244,0.012075746460420107
adc1_data6,0.033015484989549655,0.00490544504020807
adc1_data7,0.013986202722231167,0.0033085510793766327
adc1_data8,0.042421836247769275,0.007859575083422483
adc1_data9,0.042917365684010104,0.011945353473123789
adc1_data10,0.00905045866082309,0.0020817171740055477
adc1_data11,0.1650636099708237,0.053851503842838606
adc1_data13,0.02048668690575381,0.007711403552257576
adc1_data14,0.010904511753479056,0.003569217429570532
adc1_data15,0.04269842592505703,0.007614667392896734
adc2_data0,0.0032655803102850023,0.005235939424749848
adc2_data1,0.11185600420600916,0.02568399310626429
adc2_data2,0.0635070264245222,0.011364126559678151
adc2_data4,0.1297948607510791,0.03620045290373512
adc2_data5,0.03234995875632564,0.007897103488852749
adc2_data6,0.08097687240813069,0.02662485435523212
adc2_data7,0.04187853564869585,0.007328287736656556
adc2_data8,0.006405162470569582,0.0027614765883955503
adc2_data9,0.028807929927381452,0.011556669793110865
adc2_data11,0.019876199499129776,0.004960815952727405
adc2_data13,0.06837121205165977,0.020045174978184057
adc2_data14,0.06463438416730635,0.018094677873781606
adc2_data15,0.0059065996485794334,0.0012703656418379162
adc3_data0,0.05545165250366937,0.011756378911180882
adc3_data2,-3.641762290531037e-05,0.0001251397048477944
adc3_data5,0.006207200177344399,0.002004567133698986
adc3_data6,0.02122715858155009,0.003992971728144734
adc3_data7,0.007315646143454485,0.0015779174243794303
adc3_data8,0.0968350253781531,0.02321806520396067
adc3_data9,0.053993464006951174,0.014398552768725993
adc3_data13,0.0006629549470124382,0.0016030497851014284
