Feature,Importance Mean,Importance Std
adc0_data1,0.021168896259796025,0.008385363707050836
adc0_data2,0.027532952687721036,0.012285870574170502
adc0_data3,0.06054433165172932,0.024485459659489256
adc0_data6,0.0017827463286720579,0.001153238411808367
adc0_data7,0.023424109222787915,0.011670554508477808
adc0_data8,0.011472907494751324,0.006649435334061812
adc0_data9,0.005953730819817824,0.0028256683234384227
adc0_data10,0.009974157884800834,0.004240806774619668
adc0_data11,-0.011458869517670136,0.01087681687120283
adc0_data12,0.07540864894983226,0.020405577956799995
adc1_data0,0.017580033462604682,0.007951716489791896
adc1_data1,0.03396326733578099,0.013645160238237747
adc1_data2,0.0032710391013163797,0.0037573742417236064
adc1_data3,0.0007261332136161605,0.001076931420719659
adc1_data4,0.05972328575715526,0.018798307170513964
adc1_data5,0.010679822663699528,0.0052575059525255905
adc1_data6,-0.000786904028435853,0.003138565763605631
adc1_data7,0.008923356175207594,0.00422387887274614
adc1_data8,0.021787593966639568,0.011415999076097421
adc1_data9,0.05239009636494516,0.036903880994283406
adc1_data10,0.003576563721085106,0.0037371722372107753
adc1_data11,0.01918783459138031,0.011604058147009856
adc1_data13,0.00392973362441866,0.0039515309163447076
adc1_data14,0.027461599801312277,0.013108810620497954
adc1_data15,0.031587487134654715,0.015360470450995561
adc2_data0,0.0855488335264604,0.02239594351927698
adc2_data1,-0.001777271528944037,0.003897614459667479
adc2_data2,0.07580574861890146,0.0458177541063158
adc2_data3,0.04831997527419976,0.019642849663989208
adc2_data4,0.01249788767101263,0.007463266018059694
adc2_data5,0.04341568277945672,0.011132581884932454
adc2_data8,0.03449604893727032,0.015995568892737407
adc2_data9,0.025304294784008134,0.015183523265299733
adc2_data11,0.004414768907748874,0.001658646287445594
adc2_data13,0.020089718538556796,0.007954207045628433
adc2_data14,0.0037780047588074793,0.005450168653119373
adc2_data15,0.010956605858456814,0.0066063412945394735
adc3_data0,0.0147211137604286,0.007545177623929436
adc3_data2,0.006919861397614059,0.004645497623820219
adc3_data3,0.009150408891908612,0.010503394595599536
adc3_data4,0.15024902552483285,0.036794303391707146
adc3_data6,0.017128636370875118,0.008577287462288372
adc3_data7,0.11260149940069461,0.024413498844868608
adc3_data8,0.060870844139440286,0.019577988666654757
adc3_data9,0.024197522183502608,0.010192745470960076
adc3_data11,0.07382285321051349,0.025529538975785648
