Feature,Importance Mean,Importance Std
adc0_data1,0.00988982026991157,0.006971027006511521
adc0_data2,0.011878010413303886,0.003244181974283846
adc0_data3,0.02332280651737299,0.003332876619531461
adc0_data4,0.0347054613946901,0.007279356708846929
adc0_data6,0.02274653185764215,0.010259222860987462
adc0_data7,0.014972763854388022,0.00612679949203845
adc0_data8,0.01671966307743752,0.003648825529345588
adc0_data9,0.009793640367499407,0.003132375683599164
adc0_data10,0.012750714118058509,0.003553455557642995
adc0_data11,0.12410885023620452,0.017356723372092518
adc0_data12,0.08106407195672707,0.021074917951253207
adc1_data0,0.025724473119140067,0.005114274643634805
adc1_data1,0.03961095811151658,0.010056232181841027
adc1_data2,0.03571127931929841,0.009602451663470483
adc1_data3,0.03939083782961865,0.008298814591212225
adc1_data4,0.01192424369604792,0.00224390480984029
adc1_data5,0.08393343646453114,0.020081232835390674
adc1_data6,0.037485832427216204,0.008071925305222253
adc1_data7,0.01933218217789459,0.0038813335570557004
adc1_data8,0.05884289001858463,0.012429091306972064
adc1_data9,0.06233087757252422,0.01727646464177371
adc1_data10,0.008519710094168909,0.004107217689213738
adc1_data11,0.023932990533658605,0.01058468104387247
adc1_data13,0.06195378235259218,0.01457680991416937
adc1_data14,0.0956735944368812,0.018492087971108875
adc1_data15,0.02689132736634272,0.005666263160624398
adc2_data0,0.006367797117071394,0.0033801067919226645
adc2_data1,0.014259672569811463,0.0036982458946603256
adc2_data2,0.020884680158932033,0.0025385166569038627
adc2_data3,0.03287796735998298,0.009315563742060492
adc2_data4,0.039149511672764356,0.010062359217321229
adc2_data5,0.01750246882605542,0.003442035399603652
adc2_data6,0.04490290147577586,0.019061335342218426
adc2_data7,0.005154311457165753,0.002879749854878032
adc2_data8,0.023530211569372923,0.0056045166664184885
adc2_data9,0.01566892333453937,0.00397109477968051
adc2_data11,0.013144168420699359,0.002819188779823305
adc2_data13,0.023368716835325043,0.007541693833288768
adc2_data14,0.015347048725389792,0.004540802286560877
adc2_data15,0.009611630354679232,0.004662779246243957
adc3_data0,0.02430226934174596,0.008718626502082863
adc3_data2,0.00582533157618983,0.0021066112480880323
adc3_data3,0.006854019023409164,0.003186135445695598
adc3_data4,0.011731226212984761,0.003751657220782818
adc3_data5,0.05026627821932661,0.01743987197093964
adc3_data6,0.006061214290960582,0.001928525844064689
adc3_data7,0.013247630930913926,0.005349969695844325
adc3_data8,0.024718785665185344,0.00405157251316529
adc3_data9,0.013040643613333023,0.0033684908132108884
adc3_data13,0.00462534316554704,0.002046582297294623
