Feature,Importance Mean,Importance Std
adc0_data0,0.005983438294801891,0.0025620260184372463
adc0_data1,0.009385187956089527,0.003465246464922069
adc0_data2,0.013149518321333018,0.005965602128324238
adc0_data3,0.04030907365530299,0.011355250261071436
adc0_data4,0.006608729449714998,0.002003051619653394
adc0_data6,0.020423627448525043,0.004955276212682337
adc0_data7,0.08967813331196137,0.021969967546438877
adc0_data8,0.010573309660353575,0.0053287252963386674
adc0_data9,0.03351499382676672,0.01142005182454525
adc0_data10,0.034029387544415104,0.008460140044052093
adc0_data11,0.22121817107704547,0.05325836691692063
adc0_data12,0.16900854482463526,0.036441592811901125
adc1_data0,0.04968547395947651,0.014772490054440165
adc1_data1,0.04469773879767983,0.01509267643321809
adc1_data2,0.06122906244044616,0.01827650025836592
adc1_data3,0.006541851387137287,0.00406375362286562
adc1_data4,0.01062075374314792,0.004796622283640276
adc1_data5,0.07461861985070181,0.014814533914127948
adc1_data6,0.03118854175799119,0.007581061178421628
adc1_data7,0.017001518524420278,0.003854190703081921
adc1_data8,0.05790967709340087,0.009604683541978147
adc1_data9,0.03966983342594296,0.01165497635910566
adc1_data10,0.020210832113533084,0.0072756009833771455
adc1_data11,0.24006087622265387,0.05115722878167161
adc1_data13,0.011431832493549218,0.003599365522889529
adc1_data14,0.01216707505405043,0.004992762982736819
adc1_data15,0.05860373165078138,0.00908504633606909
adc2_data0,0.005177747369716825,0.005659083360833784
adc2_data1,0.1622754145834826,0.02858609205156394
adc2_data2,0.08342885257549386,0.016176828680117293
adc2_data4,0.11278956355111965,0.022086819575798163
adc2_data5,0.02679896502765349,0.0060305680404794055
adc2_data6,0.08904924106364623,0.020608372826984557
adc2_data7,0.03185819775728303,0.005942706715663571
adc2_data8,0.0045718656170602185,0.0017535973666218479
adc2_data9,0.016552528254869713,0.00874241926905236
adc2_data11,0.05091449461950638,0.007627375768785093
adc2_data13,0.03495194878618049,0.007483798689776056
adc2_data14,0.04629089698176148,0.011695947727514904
adc2_data15,0.004745604647346599,0.0017637922321100752
adc3_data0,0.0673406717715083,0.012860099394415788
adc3_data2,-1.2897066508851807e-05,0.0001948524812046032
adc3_data5,0.0059493357274873005,0.00275554718176058
adc3_data6,0.010983019863075677,0.0021414840155361465
adc3_data7,0.017054668139612147,0.007595765515728572
adc3_data8,0.10211685364563212,0.021971629661797522
adc3_data9,0.07603156728754404,0.018575551068167585
adc3_data13,0.00046410271118305297,0.001243613147207849
