,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data11,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data2,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data13
translation_x,0.19878934850439056,0.40465916004727887,0.6038024139198956,0.505722450725304,0.3385228610023838,0.4871393995959439,0.7000202068400867,0.6497963025141886,0.863215714474159,0.5483278767108262,0.45600041855347606,0.8326219545205311,1.0120538108920374,0.5454105965445517,0.8310801720234862,0.9333451883296355,0.5700035764992111,0.9858695774280561,1.01763863566768,0.4211211285591807,0.5481486432740583,0.9261698011989972,0.8286728828056418,0.873502707872825,0.6080945554378341,0.19205504261671624,0.5172227373387934,0.14307529872666724,0.9323036078385192,1.1067372416271986,1.1054406918630875,0.9116554563740773,0.7297504947482671,0.4117748903971028,0.937876462595608,0.6002045010141772,0.7600237336827622,0.7387051797523303,0.780540261031557,0.5817633516816612,0.6525431467509404,0.008679599569666463,0.36211802002382054,0.8880041762247164,0.488941095477045,0.7453860260304981,0.8563122854388809,0.06456563792388881
translation_y,0.15538940328232198,0.2696685558015217,0.5439448170733818,0.3590938693230661,0.11438293729941162,0.4287512414984609,0.6719898380702851,0.5647722834327997,0.6588562095129413,0.39749122619352417,0.37417051381663136,0.771628585915956,0.904360546056536,0.3806210583323959,0.8560696773299723,0.7502266179597039,0.4205714973049106,0.7785142282321318,0.9595464159040317,0.1517131754784724,0.3806492606135423,0.9510883330831281,0.6970116419597909,0.9573102729447172,0.5329821901154415,0.17566951854659085,0.5289509225893547,0.1345803182537777,0.6765544876270857,0.9904535984604079,0.7945301480145099,0.7805920798079091,0.5761416917238678,0.30703794720674216,0.9001761577073064,0.6852478134796551,0.6878877917643678,0.5868973785247742,0.8098594906963772,0.7565286687358832,0.5235761284913489,0.015761388563249268,0.45677344962937827,0.574823820480789,0.6037032379419436,0.6441028040392434,0.779883817937097,0.03893571619728231
translation_z,0.34758415128747666,0.4144854217467533,0.5528776072163988,0.7232427873883278,0.38290336631615496,0.3740385880191419,0.7706210943907954,0.7654674355797251,1.0568141266728497,0.7452584453328976,0.47409239528717095,1.0254172097642118,1.007999824942826,0.6897087808481428,0.9396497060697362,0.9195265701639506,0.6161545887865592,0.9815339289018907,1.1515001124428381,0.49358177162662975,0.7005894061264504,0.9674103593970704,0.741394615078641,1.088219288989364,0.7186805714328599,0.08840868470086827,0.35757845359402385,0.01797812320097658,0.8372616982625645,1.282553804820116,1.0305353619254838,1.0481378288930898,0.844383633656709,0.5184904208889867,0.895921177271563,0.6913720204467322,0.7271850823056938,0.6975541853205534,0.9534583972493289,0.6106618254560299,0.6000782240699531,0.005190319578162184,0.35262037812900804,0.7460630863302682,0.4010538631788476,0.7746499911316782,0.994296340300115,0.08971135705643318
rpy_x,0.28095101779174225,0.9228646980084294,0.676183644552899,0.9210178270071525,0.5799458438770639,0.4056843546286062,0.8297733803977461,1.1458381038422727,0.9767452863806816,0.5698108807616149,0.5503846572814934,1.2197438229576227,1.4094349671778943,1.0439057019828937,1.289444875169253,1.4627022246329175,1.0458141462180208,1.3234801221348054,1.2011480891255806,0.7956895649318672,0.654974866717287,1.0405456105658102,0.9642924604994629,0.9454207876078886,1.0194807004196846,0.11095144223629916,0.541502115174822,0.1392103060270995,1.3569045948040035,1.6105673216641665,1.0338074913723023,1.28241147243159,1.1878593055941569,0.6025723208434655,1.1354821608849266,0.7948625563941341,0.9811938371037687,1.376986408900874,1.2757745307905473,0.8872616403959948,0.8430029062139361,0.005599054922655,0.5598353959306939,1.3234670160195918,0.6867863609356846,1.0902977627238013,1.1197196280633503,0.14002362564563953
rpy_y,0.17510672764521007,1.0193467207816231,0.8140993672145966,0.821265498064967,0.5096333373203057,0.5563065608276017,0.9432682832271748,1.235305725532841,1.3628797864877815,0.44789516280757646,0.5947017031280939,1.1191137382902117,1.3953034427079358,0.9154916689621277,1.457021065369832,1.3542024948777915,1.287496486035764,1.267801474907142,1.325312876388967,0.7109348950117829,0.9464174132854308,1.1682393388530725,1.067328616706119,0.8540273415576021,0.9119484582624184,0.12922060028248672,0.5180948526128204,0.13148655422402222,1.2649343386389686,1.2489418305444437,0.9818994627241469,1.245476476023438,1.0679402222637915,0.4606094011304731,1.2402345624252225,0.6985387809370356,1.1914644118989357,1.204379839045358,1.1921356958483087,0.9073909597273184,0.8889833418901687,0.018968511408730793,0.6060272797472992,1.2506453742253507,0.6484484333841332,1.06292271672526,1.2581455892857787,0.09229868643583439
rpy_z,0.16817903250089694,1.108614235821877,0.9881802783490843,1.1469201367585287,0.7843187081406917,0.7201795289968951,0.8707597026233844,1.422952874804292,1.5116808559687538,0.5613784749847386,0.729259552379117,1.13527206885998,1.5113398219275416,1.353644007884063,1.5046149754778404,1.387589044192035,1.2200770791912792,1.6261131058000493,1.3613479657944727,0.7955067711937573,1.0745625853997738,1.3755180832857046,1.2485747194286083,1.5673903136370226,1.3326887253052457,0.2051212285130073,0.7393059932569677,0.2537030057127938,1.4200310943533219,1.9573399504942923,1.3331447697224705,1.4808307852883473,1.6347086882949162,0.7109601263101604,1.3951980938627977,1.4473643944677494,1.5069245291972346,1.3796780053465936,1.454006556230917,1.3603726852620417,0.8860855227212117,0.0019915994318191466,0.5692874374722028,1.2077902033390457,0.6979748517318054,1.2092841749419674,1.4258507510713203,0.1564081685809735
