,adc0_data1,adc0_data2,adc0_data3,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data8,adc2_data9,adc2_data11,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data2,adc3_data3,adc3_data4,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data11
translation_x,0.8509502445600221,0.9244587345748838,0.6059358151883925,0.8127976797996919,0.9652646281100876,0.8114926519037966,0.9808542651062788,1.0067174784096673,0.42466267394177293,1.0475770373914928,0.5417494860395746,0.5888496936855476,0.8586294186508825,1.01180961522724,0.9340803864954372,0.6636010467557989,1.04917908859003,0.9437229756366599,0.6254161977996378,0.2483625706943693,0.6738973640845911,0.7005129046560206,0.44005644053435944,0.6574688965958484,0.8066173102854217,0.5606644756049337,0.8338478213539997,0.4769146116766132,0.7540921022245266,0.7399574417773154,0.8778586048258163,0.6313269548367424,0.6560517008817588,0.5394472871421021,0.6076441569570974,0.5357455199467733,0.8318379600030708,0.8310041417626377,1.062240761681641,0.5620956734329603,0.5516316336571752,0.9005371720028368,0.8763128785871306,1.0525551015645394,0.5868831931969272,0.6068650825950295
translation_y,0.5626079782301823,0.6958955647880696,0.527163414605553,0.7287199153216393,0.8701257357534793,0.6774367060822681,0.7592239299120314,0.8262270714271645,0.311628851047574,0.8795768404013093,0.5810758912661198,0.43209746556288686,0.70004235198479,0.7901646192361709,0.8695035589910445,0.6319923300260526,0.7051715137305343,0.7675606691588708,0.4512251254529456,0.33088209553510284,0.7151790224552355,0.752348149009314,0.42954056751848624,0.8783431223499014,0.7239613073041049,0.26460212558206564,0.5133284144004124,0.30474166441105144,0.7245937787792056,0.7253540273947614,0.6768640015820346,0.59347177609156,0.4429726380843444,0.5883335074029761,0.7456906369889229,0.7247313642014994,0.5339101436697087,0.7403472733759224,0.9218515986202707,0.5693045383489639,0.39923242365055134,0.8712069211719045,0.6889844013682844,0.7813454883150164,0.7254016912256851,0.8316789329321708
translation_z,0.050451696471015994,0.0,0.0,0.0,0.0,0.010755319294107002,0.0,0.0,0.005883123972670878,0.0,0.05009028472719623,0.0,0.0,0.0,0.0,0.04219387768979255,0.0,0.0,0.0,0.22655305162152617,0.0,0.0,0.0,0.233876413247323,0.056542796749759816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048893523163768604,0.0,0.0,0.0077791408796861194,0.0,0.0,0.0,0.0,0.0494433424981624,0.0,0.008437154652671808,0.0,0.029289684478248645,0.03534855119290059
rpy_x,0.3621145625551543,0.3301024059100268,0.161776858250529,0.21558336180286886,0.3268540075848634,0.3237945086100271,0.32015497047326824,0.18889419173392707,0.1406184839266824,0.5585371362752609,0.3142524225496153,0.14872014648480247,0.2004726655762521,0.26938506738694246,0.5155220197827368,0.21648774713174945,0.32417478027236335,0.2784018439304168,0.19210677271589116,0.16048416767234608,0.396397486576896,0.46315210637324844,0.017261540634867956,0.441884023286121,0.4636641247968478,0.4502321148530215,0.20907169004065818,0.07451453717164935,0.5883777277968312,0.30072127864117304,0.4212796087293169,0.18922742953553673,0.21435249813473845,0.172978624530139,0.3068031001960312,0.2616527086021416,0.164788858360992,0.31293531301716015,0.4985827330812851,0.30387207119972337,0.16713961813758904,0.35659703194662895,0.39443676790586335,0.3626626965228257,0.34770843834489873,0.48927154684847585
rpy_y,0.5101373320270459,0.8457367503364475,0.37222156311574706,0.6166949475450223,0.7242722826003487,0.5891456779388371,0.7787470576170055,0.7443210047077962,0.22979668782741447,0.8744381609503198,0.5453526543373923,0.47716922554560415,0.7956866908663713,0.7587165447311006,0.8130374298110907,0.714169156722027,0.7533062880344858,0.7284579252079477,0.597599530101167,0.4475045502489121,0.6343498296148105,0.793829662087626,0.4586278691057879,0.8722682325182602,0.7216462749830408,0.6242916348038032,0.5356054313986334,0.3953415842100283,0.7452338929183742,0.6346805501404627,0.9186252030901998,0.5265011997199986,0.6711076640162947,0.612564818492231,0.6480726228158951,0.5109926985006767,0.6221008600519695,0.749827873935238,0.8694723427528985,0.42946774790259834,0.484627582950349,0.717561969513882,0.810606474988224,0.7888968592606127,0.6008300437778016,0.7711002266427283
rpy_z,0.7564430809813047,0.7523315623831803,0.675293245850205,1.0163537515969054,1.035362476636665,0.9241989154642949,1.0213226788769305,0.871758344486965,0.4034193141887621,1.3334146655634598,0.7374688029687391,0.3580841084438495,0.7543802248218976,0.918703045818638,0.9709584540070504,0.7908564681690091,0.7799843595788667,0.7484736496453739,0.5337159475903224,0.4462208193069137,0.9234844242277866,0.9628284403140508,0.38239771037562886,0.7753591995559823,0.9574854236094283,0.2906963030281986,0.6661327551268812,0.25594848552963745,0.889997808208121,0.5781198135502079,0.8628712377708616,0.6953975678932578,0.5800309565548931,0.7572472712685412,0.8033448541130412,0.7784631490987877,0.7132706043036916,0.94319004496967,1.1026510318875975,0.6252071787428943,0.38317702339440984,0.8643594188181758,0.8679578019158287,0.9685663876416575,0.7821503486978989,0.90548609503908
