Feature,Importance Mean,Importance Std
adc0_data1,0.01949228215771553,0.012670355009106219
adc0_data2,0.02427222139640342,0.009191262877436492
adc0_data3,0.05715496337815253,0.01646930945153137
adc0_data6,-0.003261298901174241,0.0021961550240659883
adc0_data7,0.02244290733825448,0.007208988427552581
adc0_data8,0.01571894587307203,0.0067435168961100704
adc0_data9,0.0059672019345739,0.004397022573343951
adc0_data10,0.005319568192686102,0.004330433733015942
adc0_data11,0.003309815860670545,0.0101569283857011
adc0_data12,0.05470024136867234,0.015699005479272405
adc1_data0,0.009688484657913134,0.008325791735782176
adc1_data1,0.013791211282275118,0.007511705492393175
adc1_data2,0.0033922155311597426,0.004817720507730758
adc1_data3,0.008137423389662325,0.0037885140273959173
adc1_data4,0.0558458411599367,0.01638013540038709
adc1_data5,0.0209336359883894,0.008164371738929579
adc1_data6,0.004690106204312666,0.00454381127212164
adc1_data7,0.01495493639923134,0.006399920808231912
adc1_data8,0.012186272528661248,0.0066229569842985265
adc1_data9,0.042632668559762124,0.033025219596473435
adc1_data10,0.005636810316281918,0.0043632008326859595
adc1_data11,0.025146206929679626,0.01170145269482225
adc1_data13,0.004173721204055336,0.0024419689498820707
adc1_data14,0.0340450165051888,0.012992168270209643
adc1_data15,0.059397605714313774,0.023122014703107166
adc2_data0,0.034048835949445584,0.012911994291049956
adc2_data1,-0.0026628617903050695,0.0030365910888054517
adc2_data2,0.06320191471072859,0.030224515017046923
adc2_data3,0.04129223627610913,0.01317928097394794
adc2_data4,0.01768730691229311,0.007924366330875926
adc2_data5,0.026897295935754024,0.007716703765839149
adc2_data8,0.013513105986942314,0.007388475701293486
adc2_data9,0.013096147976540263,0.006689212038388511
adc2_data11,0.015279743564015055,0.004972758958196373
adc2_data13,0.01993004527207632,0.006927537373321399
adc2_data14,0.006775706901900022,0.002736609181734057
adc2_data15,0.037699883196080315,0.019047762877309627
adc3_data0,0.031127091726038326,0.011599601795290236
adc3_data2,0.001898060724127168,0.003414992996053003
adc3_data3,0.04537763235778643,0.015029420661121276
adc3_data4,0.0979769478350423,0.02711544878769527
adc3_data6,0.015330286439569574,0.0067712157843368
adc3_data7,0.08631406524203303,0.018195764026299046
adc3_data8,0.04685261501804715,0.01655029687293642
adc3_data9,0.04819062279087784,0.016309870452435992
adc3_data11,0.1428396379584696,0.04912203207689699
