Feature,Importance Mean,Importance Std
adc0_data1,0.010477599337494514,0.007070679476975507
adc0_data2,0.01517526557793994,0.006221048467198823
adc0_data3,0.025885409283228467,0.0045056614818865595
adc0_data4,0.03889931189013933,0.011849572424523284
adc0_data6,0.02600344426265398,0.01068258599883142
adc0_data7,0.007255404897365316,0.002891499081833157
adc0_data8,0.021409274379801495,0.004124817966069134
adc0_data9,0.013111845524487627,0.004786602546117563
adc0_data10,0.005267727913092072,0.002029765996781139
adc0_data11,0.11011658984264527,0.014823950264384236
adc0_data12,0.08769670359797546,0.024901528120092678
adc1_data0,0.029426357048430406,0.0045215446757483025
adc1_data1,0.01264910985524835,0.005010105694479531
adc1_data2,0.04104080470779734,0.009943354649146164
adc1_data3,0.047631152229066824,0.006991005259110174
adc1_data4,0.029546619627105565,0.004514794451374775
adc1_data5,0.08008944826262192,0.01995221999033217
adc1_data6,0.01254185984459769,0.003169212243977643
adc1_data7,0.00999119495849452,0.003472669878231998
adc1_data8,0.07314881074793386,0.017958022382025315
adc1_data9,0.06523916117847085,0.01847491913322723
adc1_data10,0.014189478594136823,0.005381711054157377
adc1_data11,0.032982179378575005,0.007768335439115706
adc1_data13,0.07286539023159164,0.015019919374493563
adc1_data14,0.08762242327636648,0.0152657695730685
adc1_data15,0.020170037898446912,0.003636579229265158
adc2_data0,0.015146900992049735,0.003056559721274663
adc2_data1,0.023707224234460478,0.00987312536422942
adc2_data2,0.011752915690191273,0.0013112039150556117
adc2_data3,0.023121508425672465,0.009436145469937481
adc2_data4,0.016355456669189212,0.004784883434984003
adc2_data5,0.021320873062130898,0.004972196443945815
adc2_data6,0.0037291154232347683,0.004778453363328907
adc2_data7,0.012199766820164085,0.002657083736450881
adc2_data8,0.017748713071612944,0.0034961408204636567
adc2_data9,0.021134733253056696,0.00461383893462865
adc2_data11,0.011524534362120175,0.004651467078229229
adc2_data13,0.02340068406143789,0.007466603826555205
adc2_data14,0.0176027239684931,0.009535312588480198
adc2_data15,0.010264996080213615,0.005221161373933306
adc3_data0,0.02847616106008601,0.007419732197018654
adc3_data2,0.005122493392644058,0.001983734536583443
adc3_data3,0.014095739865656431,0.004339600254748666
adc3_data4,0.020056708507330816,0.006590926029126597
adc3_data5,0.0477740830625268,0.017857725047643012
adc3_data6,0.006143480398491432,0.0039805331090426235
adc3_data7,0.014318613385083853,0.0074636408279364595
adc3_data8,0.02161026371187999,0.004328554778886103
adc3_data9,0.011253736953608377,0.002759181320100282
adc3_data13,0.01091940792231851,0.002733988209560434
